Model,Dataset,Accuracy,Macro Precision,Macro Recall,Macro F1,Validation Accuracy,ROC-AUC
CNN,5Aug,0.5794701987,0.6191711596,0.5794701987,0.5771259705,0.6274834437,0.9721971578
CNN,10Aug,0.619205298,0.6495358119,0.619205298,0.6155734192,0.6274834437,0.9747516556
