Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Dataset,Validation Accuracy,ROC-AUC
Random Forest,0.2400662252,0.2503878563,0.2400662252,0.2279499308,5Aug,0.2466887417,0.7640618102
Random Forest,0.238410596,0.2332312281,0.238410596,0.2212294881,10Aug,0.238410596,0.767245447
