Model,Dataset,accuracy,Validation Accuracy,Macro Precision,Macro Recall,Macro F1,Macro Support,Weighted Precision,Weighted Recall,Weighted F1,Weighted Support,ROC-AUC
Neural Network,5aug,0.3294701874256134,0.3112582862377167,0.3557496722426602,0.3294701986754967,0.3210500606384287,1208.0,0.3557496722426602,0.3294701986754967,0.3210500606384287,1208.0,0.9329891004415012
Neural Network,10aug,0.28145694732666016,0.2740066349506378,0.30049691410792845,0.2814569536423841,0.2739992141447703,1208.0,0.30049691410792845,0.2814569536423841,0.2739992141447703,1208.0,0.9237224061810154
